Timestamp,What's your level of interest for the following areas of Data Science? [Data Visualization],What's your level of interest for the following areas of Data Science? [Machine Learning],What's your level of interest for the following areas of Data Science? [Data Analysis / Statistics],What's your level of interest for the following areas of Data Science? [Big Data (Spark / Hadoop)],What's your level of interest for the following areas of Data Science? [Data Journalism],What's your level of interest for the following areas of Data Science? [Deep Learning]
2017/10/17 1:11:52 PM MDT,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested,Somewhat interested
2017/10/17 2:26:07 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/17 2:37:08 PM MDT,Not interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/17 2:39:26 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/17 2:43:59 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/17 2:45:06 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/17 2:45:23 PM MDT,Somewhat interested,Very interested,Somewhat interested,Not interested,Not interested,Very interested
2017/10/17 2:50:19 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/17 2:50:53 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/17 2:51:24 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/17 2:51:37 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/17 2:52:43 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/17 2:52:51 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/17 2:57:22 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Not interested
2017/10/17 3:00:16 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/17 3:20:24 PM MDT,Not interested,Very interested,Not interested,Very interested,Not interested,Very interested
2017/10/17 3:21:01 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/17 3:21:53 PM MDT,Not interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/17 3:25:25 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/17 4:28:25 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested,Very interested
2017/10/17 4:38:05 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/17 4:40:13 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Very interested
2017/10/17 5:10:28 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/17 5:16:19 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/17 5:35:54 PM MDT,Very interested,Very interested,Very interested,Not interested,Not interested,Somewhat interested
2017/10/17 5:58:20 PM MDT,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/17 6:02:24 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/17 6:11:50 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Somewhat interested
2017/10/17 6:15:58 PM MDT,Very interested,Very interested,Very interested,Not interested,Not interested,Very interested
2017/10/17 6:26:11 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/17 8:17:21 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/17 9:50:47 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/17 11:07:25 PM MDT,Very interested,Very interested,,,Very interested,Very interested
2017/10/17 11:32:10 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 12:15:49 AM MDT,Very interested,Not interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 12:24:03 AM MDT,Very interested,Very interested,Very interested,,Somewhat interested,Very interested
2017/10/18 2:37:20 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 2:37:30 AM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:14:23 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 4:22:27 AM MDT,Somewhat interested,Very interested,Very interested,Not interested,Not interested,Very interested
2017/10/18 4:38:06 AM MDT,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Very interested
